item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11
Chocolate,Rice,Soda,Soda,Detergent,,Cookies,Cereal,Cookies,Cookies,Pasta
Apples,,,Soda,Butter,,Butter,Butter,Toothpaste,Fish,Beef
Soap,Juice,Shampoo,Soap,Apples,Tomatoes,Shampoo,Water,Bananas,Detergent,Cheese
Toothpaste,Shampoo,Coffee,Soap,Yogurt,Cereal,Chicken,,Rice,Soap,
,Eggs,Soap,Chips,Chips,Pasta,Soap,Tomatoes,Milk,,Cheese
,Onions,Yogurt,Apples,Eggs,,Cereal,Chocolate,Eggs,Soap,Cookies
Juice,Soap,Detergent,Soda,Juice,Milk,Rice,,Soda,Water,
,Toothpaste,Chips,Rice,,Juice,Detergent,Cereal,Water,,
Bread,Chips,Chicken,,Onions,Rice,Cheese,Milk,,Butter,Coffee
Pasta,,Bananas,Tomatoes,Detergent,Cheese,Shampoo,Apples,Butter,,Tea
Apples,Milk,Tea,,Yogurt,,Tea,Toothpaste,Cookies,Detergent,Juice
,,,Oranges,Oranges,Tissue,Tomatoes,Butter,Toothpaste,Onions,Eggs
,Soap,Chips,,Tea,Onions,Pasta,Fish,Fish,Soap,Bananas
Shampoo,Shampoo,Soap,Tissue,Chicken,Shampoo,Chips,Chocolate,Shampoo,Cheese,Chips
Tissue,,,,Fish,Coffee,,Shampoo,Eggs,Tea,Tissue
,,Eggs,Soda,Yogurt,Pasta,Soda,Eggs,,Yogurt,Tomatoes
Fish,Juice,Cheese,Shampoo,Tomatoes,,,,Milk,Tissue,Beef
Shampoo,Shampoo,,Butter,Soda,Chicken,Coffee,Toothpaste,,,Pasta
,Cheese,,Milk,Chicken,Beef,Pasta,,Cheese,Apples,Rice
,,,Coffee,Coffee,Bananas,Fish,,,,Fish
Shampoo,Oranges,Chicken,Bananas,Tea,Tea,,,Bread,Tomatoes,Tissue
Cheese,Yogurt,Butter,Chips,Cereal,,Oranges,Butter,Water,,Juice
Butter,Juice,,,,Coffee,Cookies,Eggs,Cookies,Chips,Tomatoes
,Cereal,Fish,Soap,Milk,Milk,Milk,Pasta,,,Cheese
Fish,Soap,Juice,Milk,,Bananas,Onions,Cereal,Bread,Cookies,Soda
,Chocolate,Tea,Oranges,,Bread,Apples,,Fish,Pasta,
Shampoo,Soap,Juice,Butter,,Juice,Soda,Detergent,,Soap,Chips
Pasta,Rice,Tea,,Cereal,Detergent,,Soap,,Milk,Shampoo
Juice,Cereal,Rice,Cereal,Detergent,Cookies,Onions,Eggs,Milk,,Pasta
,Detergent,Oranges,Chicken,Water,Shampoo,Chips,Toothpaste,Tomatoes,Detergent,Milk
,Tomatoes,Eggs,Chicken,,Tea,Eggs,Fish,Tissue,Pasta,Juice
,Cookies,,Cereal,Bread,Detergent,,Chips,Chocolate,Tea,
Beef,Rice,Bananas,Cheese,Toothpaste,Butter,Bread,,Soap,Cereal,
Pasta,Soap,Cereal,Soda,Chicken,Water,Chips,Beef,Beef,Bread,Bread
Milk,Chocolate,Bread,Bread,Fish,,Detergent,,Water,,
Water,Tissue,Toothpaste,Chicken,Chips,Detergent,Cereal,Tea,Chips,Detergent,Milk
Yogurt,Juice,Fish,,Coffee,Chips,Shampoo,,,Rice,Butter
Yogurt,Soda,,Cookies,,Cookies,Bread,Eggs,,Water,Detergent
Bread,Apples,Coffee,Butter,Onions,,Coffee,Rice,,Chicken,Bread
Cereal,Water,,,Chips,Cereal,Eggs,Beef,Pasta,Milk,Oranges
Yogurt,Fish,Chocolate,Soap,Fish,Yogurt,Chips,,Soap,Beef,
,Juice,Detergent,,Tomatoes,Coffee,Pasta,Water,Eggs,Tea,Tea
Eggs,,,,,Tissue,Soda,,Eggs,,Coffee
,Cereal,,Beef,,Toothpaste,Coffee,,,Chips,
,Fish,Yogurt,Oranges,Tomatoes,Tea,Pasta,Butter,Yogurt,,Apples
Rice,,Cereal,Beef,Chicken,,Yogurt,Onions,Tea,Eggs,Chocolate
Chocolate,Yogurt,Bananas,Water,,,Oranges,Cookies,,,Fish
Cheese,Eggs,Cereal,,Chocolate,Cookies,Onions,,,Soda,Coffee
Beef,Butter,,Fish,Juice,Shampoo,Butter,Milk,Milk,,Tissue
Beef,,Juice,Chocolate,Butter,,Eggs,,,Juice,Beef
,Cereal,Fish,Onions,Milk,Juice,Water,,,Cookies,Onions
Fish,Onions,Beef,Oranges,Beef,Eggs,,Soap,Rice,Beef,Toothpaste
Bread,Chicken,Yogurt,Bread,Water,Milk,,Cereal,,Rice,Tomatoes
Onions,Soda,Toothpaste,Rice,Toothpaste,Detergent,,Chips,Coffee,,Milk
Oranges,Milk,Eggs,,,Apples,Rice,Yogurt,Bananas,Onions,Fish
Onions,Onions,Coffee,Water,Cheese,Detergent,Juice,Tissue,,Fish,Coffee
Chicken,Fish,Cheese,Bananas,Tissue,Coffee,Soap,Bread,Bananas,Juice,Yogurt
Apples,Cookies,,Apples,Shampoo,Chips,Butter,Tomatoes,Water,,
Detergent,Chocolate,Chips,Onions,Detergent,Cheese,Juice,Chicken,Bananas,Chips,Chips
Fish,Cereal,Rice,Bananas,Chocolate,Toothpaste,Tissue,Rice,Cereal,Coffee,Apples
Shampoo,Rice,Coffee,,,,Soap,Pasta,Oranges,Soda,Milk
Cookies,,Apples,Eggs,Apples,Cereal,,Cookies,Coffee,Detergent,Coffee
Water,,Beef,Bread,Cereal,Water,Chicken,Chocolate,Cheese,Cookies,
Toothpaste,Bananas,Toothpaste,Water,Cereal,Cookies,Soap,Cookies,Beef,Pasta,Toothpaste
Cheese,Rice,Shampoo,,Milk,Bread,,Water,Milk,Apples,Apples
Yogurt,Cereal,Butter,Pasta,Eggs,Bananas,Onions,Tissue,Eggs,Tea,
Eggs,Chocolate,,Chips,Coffee,Oranges,Chocolate,Beef,Cookies,Toothpaste,Tissue
,,Soap,Coffee,,Rice,Tissue,Chicken,Cookies,Detergent,Tissue
Tomatoes,Yogurt,Cookies,Onions,Eggs,Butter,Juice,,Tea,Shampoo,Soap
Detergent,,Chips,Cheese,Soda,Toothpaste,,Detergent,Beef,Shampoo,Tomatoes
Oranges,Fish,Rice,Milk,Oranges,Apples,,Beef,Cheese,Toothpaste,Tissue
Tea,Eggs,,Onions,Pasta,Beef,Chocolate,,Shampoo,Eggs,Tea
Fish,,,,Yogurt,Milk,Pasta,Soda,Butter,Fish,Coffee
Juice,Soap,Chicken,Eggs,Onions,Yogurt,Cheese,Toothpaste,Bread,Milk,Coffee
Eggs,,Chips,,Onions,,Bananas,Juice,,Juice,Milk
,Juice,Pasta,Chips,Rice,Beef,,Detergent,,Pasta,Soap
,Tomatoes,Onions,Detergent,Water,Toothpaste,Soap,Cookies,,Detergent,Juice
Cookies,Water,Pasta,Onions,,Butter,Detergent,,Chips,,Cheese
Detergent,Chocolate,Chips,Beef,Cookies,,Tissue,Oranges,Chips,Water,Cookies
Soda,,Tomatoes,Cheese,Soda,Yogurt,,,Toothpaste,,Pasta
,Chicken,Chips,Detergent,Tea,,Milk,Chocolate,Pasta,,Toothpaste
Tissue,,Fish,Tea,,Oranges,Bananas,Tea,,Onions,Cereal
Juice,Beef,Oranges,Apples,Cheese,Oranges,,,Chocolate,Bread,Detergent
,,,Pasta,Tissue,Apples,Cheese,Coffee,,Toothpaste,Soda
Apples,Cheese,Fish,,Bread,Tea,Soda,Eggs,Bananas,,Cheese
Cookies,,Detergent,Chicken,Water,Onions,Juice,,Eggs,Oranges,Cheese
Tissue,Bananas,,Chocolate,,Fish,Tea,Onions,Pasta,Pasta,Toothpaste
,,Cookies,Chocolate,Eggs,Soda,Eggs,Beef,Cereal,,Chips
Chicken,Detergent,Coffee,Tomatoes,,,Detergent,Tissue,,Bread,Tomatoes
Beef,Rice,Fish,Chips,Bananas,Toothpaste,Butter,Toothpaste,Juice,Milk,Chicken
Pasta,Juice,Chicken,Detergent,Toothpaste,Cheese,,Fish,Bread,Eggs,Fish
Cheese,Onions,Chips,Pasta,Milk,,Pasta,Yogurt,Soap,Shampoo,Oranges
Juice,Tomatoes,Beef,,Bread,,Bananas,Toothpaste,Tomatoes,,Chocolate
Detergent,Cookies,Rice,Yogurt,,Chicken,Coffee,,Bread,Bananas,Chicken
Fish,,Onions,Toothpaste,Chips,,Tissue,Butter,Onions,Eggs,Pasta
Detergent,Coffee,Bread,Shampoo,Cookies,,,Chips,Onions,Water,Yogurt
Tissue,Bread,Bananas,Shampoo,Tomatoes,Beef,Tissue,Bread,Onions,Fish,Pasta
Soap,Tea,,Yogurt,Chips,Detergent,Milk,Chocolate,Bread,Fish,Chips
Soda,Yogurt,,Bread,,Detergent,Coffee,Coffee,,Chicken,Butter
Chips,Juice,Bread,Cheese,Juice,Rice,,,Beef,Chips,Cookies
Rice,Water,Yogurt,Tea,Eggs,Cereal,Soap,Butter,Onions,Pasta,Butter
,,Pasta,,Soap,Bread,Beef,Bread,Cheese,Cereal,Eggs
Tea,Cheese,,Shampoo,Milk,Shampoo,Fish,,Bananas,,Soda
Tissue,Eggs,,,Tomatoes,Soda,,Tea,Shampoo,Milk,Detergent
,Tea,Shampoo,,Fish,Chocolate,Chips,Chocolate,Cookies,Apples,Shampoo
Bananas,,,Water,Butter,Tissue,Shampoo,Soap,Chips,Chips,Apples
Soap,Apples,Water,,Yogurt,Detergent,,Fish,Butter,Pasta,
Yogurt,Rice,,Coffee,Bread,Shampoo,Apples,Shampoo,Pasta,,Tissue
Butter,,Yogurt,Soda,Bananas,Chips,Cheese,Soda,,Beef,Pasta
Detergent,Toothpaste,Milk,Butter,Soap,Pasta,Fish,,Beef,Cheese,Rice
Juice,Bread,Toothpaste,Chicken,Chips,Soap,Bread,Chips,Chips,Pasta,Chocolate
Bananas,,Soap,Rice,Cookies,Cheese,Juice,Fish,Yogurt,Butter,
,Apples,Cheese,Milk,Tomatoes,Toothpaste,Pasta,Juice,,Oranges,Tea
,Chocolate,Soda,,Water,,,,Oranges,Soda,Rice
Chocolate,,Toothpaste,Toothpaste,Butter,Bread,Beef,Chicken,Cheese,Coffee,
Juice,Cookies,,Tomatoes,Pasta,,Coffee,Chocolate,Chocolate,Milk,Soda
Yogurt,,Fish,Tea,,Tomatoes,Water,Detergent,Yogurt,,Tea
Bananas,Juice,Tomatoes,,Soda,Chips,Coffee,Soda,,,Milk
Tea,Eggs,Coffee,,Fish,Tea,Butter,,Eggs,Soap,Butter
Pasta,Bananas,,Fish,Oranges,Tissue,Cereal,Coffee,Eggs,Toothpaste,Milk
Pasta,Pasta,Eggs,Tissue,Chicken,Chocolate,,Chicken,Tissue,Tea,
Soap,Bananas,Tissue,Fish,Pasta,Chicken,Detergent,Soap,Soap,Cookies,Soap
Coffee,,Chips,Oranges,Chocolate,Soap,Tea,Milk,Soap,Detergent,
Chicken,Tomatoes,Apples,Chips,Chicken,Cookies,Toothpaste,Onions,Beef,Eggs,Tissue
Butter,Toothpaste,Toothpaste,Cheese,,Soap,Cheese,Tomatoes,Coffee,Tissue,Apples
Eggs,Chocolate,Cookies,Milk,Butter,Chocolate,Soap,Tissue,Pasta,Cereal,Chocolate
,Pasta,Cookies,Toothpaste,Eggs,Fish,Tea,Soda,Detergent,,
,Butter,Cereal,Milk,Coffee,Yogurt,Onions,,Bread,Beef,Detergent
Juice,Cereal,Juice,Tissue,,Cookies,,Cookies,,Beef,Coffee
Detergent,Bananas,Chicken,Eggs,Soap,Milk,Butter,Milk,,Toothpaste,Butter
,Bread,Yogurt,Tea,Rice,Butter,,Cereal,Tomatoes,Butter,Oranges
Oranges,Cereal,,Tea,Cookies,,Chocolate,Apples,,Milk,Detergent
Chocolate,Cheese,Tomatoes,Soap,Tea,Cheese,,Pasta,Chocolate,,Yogurt
Beef,,,Apples,Cookies,Yogurt,Apples,,Eggs,Milk,Tomatoes
Chips,Yogurt,Eggs,Cookies,Chicken,Chips,,Tomatoes,Milk,Onions,Cookies
Beef,Juice,Tea,Cookies,,Tissue,Chicken,,,,Tissue
Juice,,Cookies,Coffee,Tea,Tissue,Chocolate,Eggs,,Beef,Soda
Coffee,,,,Bananas,Rice,Bread,Soda,Tomatoes,Bread,
Fish,Coffee,,,Toothpaste,Fish,Shampoo,Butter,Shampoo,Cereal,Beef
Cheese,Detergent,,Bananas,Yogurt,Rice,Cheese,Oranges,Pasta,Chips,Butter
Coffee,Shampoo,Cheese,Beef,Cheese,Bread,Soda,Eggs,Rice,Bread,Soap
Bread,Water,Oranges,Chicken,Rice,Toothpaste,Soap,,Rice,Bread,
,Soap,Butter,Bread,Water,Chips,,Beef,Cookies,Oranges,Oranges
Oranges,Milk,Pasta,Cheese,Coffee,Shampoo,Beef,Juice,Tea,Coffee,Shampoo
,,,Water,Toothpaste,Chocolate,Rice,Bread,,Tomatoes,Toothpaste
Eggs,Eggs,Chicken,Cookies,Pasta,Apples,Soap,Tea,Soap,Tomatoes,Juice
Apples,Yogurt,Soap,Pasta,Yogurt,Water,Shampoo,Soda,,Toothpaste,Rice
Tissue,Apples,,,Onions,Coffee,Chocolate,Shampoo,Chocolate,Cookies,Juice
,Tomatoes,Apples,Chocolate,Soap,,,Onions,,Yogurt,
,Shampoo,Shampoo,Tea,Bananas,Milk,,,Soda,,Tea
Fish,Detergent,Cereal,Chocolate,,Apples,Beef,Soap,Soda,Toothpaste,Bread
Juice,Soap,Apples,Toothpaste,Onions,Juice,Chicken,,Apples,Toothpaste,Butter
Tea,Cookies,Tea,Tomatoes,Cookies,Oranges,Shampoo,Water,,Detergent,Onions
Bread,,Bananas,Apples,,Beef,,Fish,Chocolate,Bread,Detergent
Cereal,Cheese,Tomatoes,,,,Oranges,Coffee,Tomatoes,,Pasta
Chips,Fish,,Detergent,Bananas,,Soap,Cheese,Detergent,Tea,Tomatoes
Yogurt,Oranges,,Yogurt,Cheese,Cookies,Detergent,Apples,Butter,Tea,Oranges
Rice,Shampoo,,,Coffee,Chicken,Cereal,Tissue,,Oranges,Soda
Pasta,Coffee,,Shampoo,,Water,Eggs,Soap,Bread,,
Toothpaste,Milk,Fish,,Cookies,Bread,Toothpaste,,,Chocolate,Cereal
Cereal,Cereal,Cheese,Eggs,Toothpaste,Pasta,,,,,
Coffee,Milk,Tomatoes,,Onions,,Cereal,Eggs,,Oranges,Cereal
Bread,,Onions,Bananas,Soda,Butter,Yogurt,Detergent,,Eggs,Soap
Chicken,Milk,Chips,Onions,Butter,,Soda,Rice,Bread,Detergent,Cereal
Beef,Cookies,Tea,Oranges,Coffee,Coffee,,,Chips,Chicken,Chicken
Beef,Soap,Coffee,Bananas,Yogurt,,Yogurt,Soda,Fish,Yogurt,
Cereal,Tea,Chicken,Tea,,Chicken,Juice,Bread,Eggs,Chocolate,Juice
Chips,Onions,,,Coffee,Chips,Shampoo,Toothpaste,Milk,Yogurt,Yogurt
Coffee,Chips,Eggs,,Fish,Bread,Chocolate,Beef,Chocolate,Water,Yogurt
Coffee,,Soap,Milk,Tomatoes,Eggs,,Eggs,,Pasta,
,Bread,,Coffee,Eggs,Bread,Eggs,Bananas,Cheese,,Tomatoes
Yogurt,,Cheese,,Oranges,Cheese,Soap,Juice,Tea,Chocolate,Chicken
,,Tissue,Water,,Soap,Tea,,,Soap,Water
Cereal,Onions,,Tea,Rice,Shampoo,Milk,,Yogurt,Oranges,Bread
Tea,Soap,Pasta,Coffee,Toothpaste,Coffee,Soap,Cookies,,,Shampoo
Rice,,Oranges,Cereal,Oranges,Cookies,Yogurt,Onions,Water,Cereal,Soda
Oranges,,Toothpaste,,Cheese,,Butter,Cookies,Soda,,Apples
Milk,Tomatoes,,Soap,Rice,Soda,Cereal,Tea,Juice,,Toothpaste
,Coffee,,,Apples,Fish,Tea,Juice,,Water,Bananas
Cereal,Milk,Beef,Shampoo,Rice,,Chicken,Chicken,Onions,Water,Eggs
,Rice,Fish,Coffee,Soda,Onions,,,,Apples,Soda
Cheese,Rice,Beef,Tea,,,Rice,Apples,Chicken,Beef,Toothpaste
Beef,Cereal,Bread,,Rice,,Toothpaste,Juice,Tomatoes,Cereal,Soda
Beef,Onions,Eggs,,,Milk,Toothpaste,Tomatoes,Cookies,Tomatoes,Milk
Cheese,,Cookies,Chips,,Shampoo,Chips,Chocolate,Butter,Eggs,Bread
Soda,,Cookies,Toothpaste,,Yogurt,Cookies,Bananas,Apples,Fish,Chicken
,Shampoo,Apples,Cheese,Milk,,Chocolate,Tea,Cheese,,Milk
Tissue,,Cereal,Tomatoes,Shampoo,Water,Tissue,Coffee,Fish,Eggs,
,Bananas,Shampoo,Onions,Pasta,Rice,Apples,Tissue,Shampoo,Toothpaste,Bread
Onions,Oranges,Shampoo,Tomatoes,Pasta,,Tomatoes,Soda,Bread,Onions,Soda
Tea,Apples,Chips,Juice,,Rice,Tea,Toothpaste,Oranges,,Beef
,,,Tea,Bananas,Bananas,,Cheese,Toothpaste,Rice,Oranges
Pasta,Tea,Cookies,,Eggs,Fish,Soap,Oranges,Cereal,Pasta,
Cereal,Shampoo,Chips,Coffee,Beef,Fish,Toothpaste,Tea,Yogurt,Beef,Bread
Apples,Eggs,Onions,Toothpaste,Chips,Tomatoes,Chocolate,Rice,Cookies,Eggs,Chocolate
Butter,Cookies,Cereal,Pasta,,Cookies,,,Tomatoes,Cookies,Soda
,Chicken,Milk,Butter,Detergent,Pasta,,Rice,Detergent,Coffee,Fish
,,Shampoo,,Onions,Eggs,Pasta,Cookies,Pasta,,Butter
Toothpaste,Milk,Tissue,Tea,Cookies,Water,Oranges,Pasta,Fish,Juice,Tea
,Eggs,Soda,Tea,Chips,Yogurt,Cookies,Beef,Soap,Tea,Shampoo
Beef,,Bread,Detergent,Rice,Detergent,Eggs,Eggs,Detergent,Chicken,Eggs
Juice,,Tissue,Tomatoes,Chocolate,Soda,Juice,Water,,Soda,
,Chocolate,Fish,,Eggs,,Cheese,Tomatoes,Pasta,Rice,Soda
,Beef,Bananas,Yogurt,Pasta,,,Soap,Pasta,Detergent,Bread
Soap,Juice,Eggs,Milk,Yogurt,Beef,Toothpaste,Butter,Tea,Milk,Soda
Milk,,Butter,Tea,,Tomatoes,Soap,Beef,Onions,Chips,Rice
Water,Onions,,,Beef,,Cookies,Toothpaste,Oranges,Pasta,Tea
Eggs,Water,Shampoo,Eggs,Toothpaste,Coffee,Onions,,Pasta,Soap,Toothpaste
Pasta,,,Tissue,Tissue,Beef,Cheese,Soap,Chocolate,Tissue,Chocolate
Bread,Chicken,Apples,Butter,Fish,Apples,Bananas,,,Bananas,Oranges
Cheese,Tomatoes,Tomatoes,Yogurt,Pasta,Onions,,Apples,Milk,,Tomatoes
Coffee,Chips,Tissue,Pasta,,Eggs,Butter,Eggs,Fish,Onions,
Bread,,Tomatoes,Cereal,Chips,,Fish,,Eggs,Juice,Pasta
Soda,Tissue,Shampoo,Soap,Shampoo,,Yogurt,Yogurt,Bread,Milk,
Butter,Chips,,Oranges,Beef,,Fish,Shampoo,Chips,Pasta,Soap
Apples,Coffee,,Detergent,Onions,Toothpaste,Coffee,,Toothpaste,Toothpaste,Soap
Coffee,Fish,Coffee,Cheese,Coffee,Water,,Oranges,Oranges,Milk,Apples
Eggs,Tissue,Beef,Bananas,Chicken,Rice,Bananas,,Cookies,Apples,Milk
Onions,Eggs,Onions,Shampoo,Onions,Toothpaste,Oranges,Soap,Tea,Tissue,Fish
Oranges,Butter,,Fish,Fish,Soda,Detergent,Chicken,Fish,Pasta,
,Apples,Juice,Toothpaste,Soap,,,Chips,Onions,Coffee,
,Butter,,Rice,Tomatoes,Pasta,Soap,Tomatoes,Apples,Beef,Oranges
Tea,Pasta,,Detergent,Tea,Coffee,,Soda,,,Detergent
,Yogurt,Tea,Chocolate,Rice,Water,Onions,Eggs,Onions,Tea,Rice
Eggs,Soda,,Milk,Tomatoes,Apples,Detergent,Butter,Toothpaste,Beef,Soda
Eggs,Eggs,,Water,Oranges,Onions,,Milk,Bread,Fish,
Apples,Toothpaste,,Onions,Cookies,Pasta,,Water,Shampoo,Tomatoes,Tomatoes
Cookies,,Cheese,Tomatoes,,,Onions,,Soap,,
Detergent,Soap,,Beef,Cheese,Cookies,Fish,Eggs,Detergent,Tomatoes,
Water,Detergent,Tomatoes,,Eggs,Water,,Cheese,Cereal,Soap,Coffee
Milk,Beef,Eggs,,Rice,Cheese,,Tea,,Juice,
Toothpaste,Onions,,Butter,Rice,Beef,Coffee,Butter,Cookies,Cereal,
Fish,Cookies,Chips,Tomatoes,Rice,Pasta,Toothpaste,,Fish,Soap,
Chocolate,Butter,Soda,Bananas,Oranges,Chocolate,Onions,Milk,Shampoo,Soap,Chicken
,,Tomatoes,Cereal,Pasta,Chocolate,Coffee,Juice,Yogurt,,Shampoo
Juice,Yogurt,Soap,Water,Tomatoes,Coffee,Bananas,,Bananas,Coffee,Chips
Tea,,Coffee,Detergent,Apples,Shampoo,,,Soap,Toothpaste,Tomatoes
Shampoo,Cereal,Butter,Cereal,,Butter,Shampoo,Chocolate,Cheese,Fish,Chocolate
Beef,,,,Soda,Toothpaste,Oranges,Onions,,Tomatoes,Bread
Milk,Tissue,Soap,Cookies,Tomatoes,Bananas,Tea,,Milk,Chips,Chocolate
,Chocolate,Bread,Shampoo,Rice,Rice,Eggs,Tomatoes,Juice,Fish,Oranges
Chips,Fish,Yogurt,Shampoo,Beef,Tomatoes,Pasta,Soap,Pasta,Apples,
,Chips,,,,Coffee,Milk,Juice,,,Chips
Water,Coffee,Soda,Bananas,Butter,Oranges,Cereal,Yogurt,Shampoo,Cereal,Rice
Rice,Juice,,Butter,Cheese,Tissue,Cereal,Water,Shampoo,,Butter
,Pasta,Pasta,Toothpaste,Cookies,Rice,,,Rice,,Juice
Butter,Pasta,Cheese,Fish,Pasta,Bananas,Soda,Pasta,Toothpaste,Juice,Yogurt
Onions,Chips,Cookies,Beef,Onions,Fish,Chocolate,,Beef,,
Rice,Eggs,Fish,Eggs,,Onions,Onions,Pasta,Chocolate,Tea,Chicken
Chicken,Beef,Onions,Yogurt,Soap,Milk,Juice,Shampoo,Cheese,Tea,Juice
Tea,Onions,,Bananas,Toothpaste,Juice,Soap,Chocolate,Tissue,Water,Detergent
Oranges,Tea,Water,Soda,Rice,Oranges,,Apples,Tomatoes,Bananas,Fish
Shampoo,Bread,Beef,Eggs,Onions,,Chips,Juice,,Cheese,Milk
,,Apples,Cheese,Eggs,Chips,,,Juice,Chocolate,Tissue
Oranges,Coffee,Bread,Juice,Tissue,Toothpaste,Apples,Pasta,Soda,,Onions
Beef,Cookies,,,Apples,Tissue,Chicken,Butter,Juice,Eggs,Coffee
Apples,Cheese,Chips,Apples,Pasta,Eggs,Yogurt,Yogurt,Beef,Tomatoes,
,Detergent,Butter,Butter,,Cereal,,Detergent,Cheese,,Apples
,Toothpaste,,Apples,Yogurt,Bananas,,,Chips,Oranges,Chocolate
Fish,,Eggs,Soap,Oranges,,,Butter,Toothpaste,Detergent,Beef
,,Fish,Cheese,Oranges,Juice,Apples,Juice,Cookies,Soap,Fish
Soap,,Rice,Bread,Bananas,,Chips,,,Water,Eggs
Detergent,Tissue,Tomatoes,Soap,Bananas,Rice,Tea,Coffee,Eggs,,Pasta
,,Oranges,Onions,Yogurt,Fish,Fish,Pasta,,Milk,Yogurt
Soap,Oranges,Tomatoes,,Cookies,Water,,Chips,Tea,Onions,Beef
Cheese,Pasta,Detergent,Butter,Chips,Cookies,Chips,Tea,Fish,,Detergent
Water,Cookies,Eggs,Soda,,Tomatoes,,Cereal,,Toothpaste,Butter
Water,Pasta,Eggs,Chocolate,Fish,,,Milk,Cookies,,Detergent
Pasta,,Shampoo,Milk,Cookies,Rice,Cheese,Coffee,Soda,Bananas,Tea
Chips,Detergent,Soap,Cheese,Rice,Milk,Bananas,Oranges,Water,Toothpaste,
Chicken,Beef,Tea,Milk,Shampoo,Beef,,Tissue,,Fish,
,Soap,Juice,Chocolate,Tomatoes,Chocolate,,Soda,Soap,Chocolate,Beef
,,Juice,Butter,Tissue,Pasta,Chicken,Cookies,Onions,,Chocolate
,Cheese,Butter,Coffee,Beef,Fish,Soap,Milk,Toothpaste,Bread,Bread
,,Pasta,,Cookies,Pasta,Tomatoes,Tomatoes,Soda,Chips,
Tomatoes,Cheese,Toothpaste,Tomatoes,Fish,Bananas,Beef,Shampoo,,Fish,Bread
Bread,Cheese,Chicken,Chocolate,,Yogurt,Chocolate,Coffee,,Rice,Shampoo
Juice,,Toothpaste,Toothpaste,Rice,Beef,Cookies,Cereal,Onions,Chocolate,Eggs
Butter,Juice,Apples,Yogurt,Chicken,Chips,,,Shampoo,Milk,Rice
Coffee,Yogurt,,Tea,Beef,Tissue,Tea,Bananas,Chocolate,Cheese,Chocolate
Onions,Cereal,,Yogurt,Soap,Fish,Soap,Pasta,Milk,Cookies,Tomatoes
Beef,Yogurt,Yogurt,Eggs,Shampoo,Cheese,Juice,Chicken,,Bananas,Chocolate
,Shampoo,Tomatoes,Milk,Chicken,Cereal,Tissue,,Cheese,Cheese,
,,,Yogurt,Chicken,Detergent,,,Rice,Juice,Tea
Coffee,Water,Chocolate,Rice,,Chocolate,,Tissue,,Tea,
,Beef,Eggs,Tea,Chicken,Beef,Yogurt,,,Chips,Shampoo
Rice,,Coffee,Tissue,,Shampoo,Butter,Bread,Cheese,,Yogurt
Cheese,Pasta,Water,Juice,Pasta,,Chocolate,,,Butter,Rice
,Beef,Rice,Toothpaste,Fish,Soda,Chips,Onions,Beef,,Apples
Cereal,Tissue,Onions,Coffee,Tissue,,Bread,,Onions,Chips,Cheese
Tea,Cheese,Coffee,,Soda,Coffee,Milk,Onions,Tissue,Oranges,
Soap,Coffee,Chicken,Tea,Tea,,Butter,Cheese,,Cookies,Detergent
Bread,Milk,Apples,Bread,,Water,,Cheese,Chips,Tissue,Beef
Cookies,Rice,Chips,Apples,Rice,Fish,Water,Water,Cereal,,Coffee
,Cereal,,Onions,Coffee,Soap,Shampoo,Soap,,Onions,Apples
Toothpaste,Beef,,,Soap,Juice,,,Coffee,Fish,Cookies
,Yogurt,Soap,Bread,Tea,Detergent,Tea,Cereal,,,Soda
,Water,,Milk,,Bananas,,,Juice,Juice,Butter
Bread,Chicken,Apples,Bread,Bananas,,Soda,Rice,Tomatoes,Tea,Coffee
,Yogurt,Rice,Soap,Shampoo,Onions,,,Oranges,Tea,Pasta
Chocolate,Beef,,Oranges,,Oranges,Butter,Shampoo,Bread,,Shampoo
Tea,Water,Water,,Rice,Detergent,Juice,Tomatoes,,Chips,Soda
Pasta,Toothpaste,Chicken,,Milk,Cereal,Eggs,Cookies,Chicken,Coffee,Eggs
,Soap,Cookies,Rice,Soap,Chicken,Milk,Eggs,Bread,Chips,Juice
Coffee,Detergent,Chocolate,Cereal,Soap,Water,Toothpaste,Chips,Water,Tissue,Chicken
Fish,,Rice,Rice,,Soap,Onions,Bananas,,Chips,Shampoo
Bananas,Soap,,,Apples,Toothpaste,Chicken,Tea,,Eggs,
Tissue,Pasta,Chocolate,Cookies,Chocolate,Apples,,Bananas,,Soda,
Cereal,Tea,Pasta,Juice,Fish,Milk,,Tomatoes,Fish,Soda,Water
Eggs,,,Juice,Cereal,Soda,,Tomatoes,Butter,Bread,Soda
,,Beef,Water,Apples,,,,Apples,,
,Eggs,Chips,Juice,,,Tea,Tomatoes,Butter,Cookies,Chips
Toothpaste,Detergent,Cereal,,Oranges,,Eggs,Cookies,Juice,Milk,Butter
Tissue,Chicken,Water,Chips,Juice,Shampoo,Chocolate,Eggs,,Yogurt,Oranges
Rice,Soap,,Tomatoes,,Cookies,Rice,Yogurt,Apples,Juice,Toothpaste
Butter,Chicken,Butter,Shampoo,Coffee,Shampoo,Detergent,Fish,Apples,Butter,
,,Cereal,Beef,Cookies,Apples,Coffee,Pasta,Butter,,Tomatoes
Chips,Butter,,Tea,Fish,Chips,Tea,Chicken,Soda,,
